Control_1	Control_2	Control_3	Heat_treated_1	Heat_treated_2	Heat_treated_3
g72	9.68047252938504	9.58136925421632	9.28227755381781	10.2004994259385	10.119366543541	10.2521415149367
g73	11.1802504689735	11.4811579840518	11.2167832393396	11.3857996170264	11.6034843612232	11.1486856483554
g74	9.95888533754914	13.1805583101378	11.4299186517877	10.2048904079852	10.3145822007845	10.1336552551278
g75	8.9283945615496	8.68803015075952	8.60279257683642	9.38065763802693	9.40082355050614	9.29611628316708
g76	11.852688614908	11.7899858502087	11.8158027193361	11.588088423118	11.0418576754807	11.7716734009669
g77	10.1283821518376	12.5681209978979	11.9940785568368	9.34695507169158	10.4282333351006	10.6264293609482
g78	9.72575863324162	10.0762698354091	9.86624827206174	8.72030821954417	8.79876177552041	9.11379933249369
g79	12.8729773464018	12.1109815545904	12.6518459772063	13.4978374611454	13.2806552039206	13.3555270686842
g80	9.69446473993796	9.87755030662081	9.78887691289819	8.74596609719271	9.41752015838737	9.06066247623652
g81	11.5504944008945	10.0551963408744	10.2089017531599	11.2774462666949	11.8580145489167	12.3492121435239
g82	8.89742330535652	8.81480710968947	8.43382767978889	9.37062820969297	9.02593942208468	9.41732871638544
g83	9.48925193203022	9.31689395997463	9.38848989786362	8.591473155249	9.38090548914295	8.37381025621524
g84	11.5017945722233	11.7246379107895	11.7311140908812	10.9176788052898	11.1536772754038	11.2417376978296
g85	10.4992210871189	10.4994581682436	10.489824771574	10.0004184940605	10.3224541778622	10.4766011162172
g86	10.2392403217917	9.57100292640424	9.69442056062836	9.10523748412141	8.3769296884862	9.26764142547326
g87	6.18877716258335	6.80055775848488	6.35513130164884	5.78930100755141	5.42196061949428	6.24586560671343
g88	8.39801220854231	9.20483448737953	9.19060069782054	8.69206853975534	8.69959661545517	9.01093369239766
g89	6.86769231794323	7.39383275228082	7.3913702975744	7.32324500290382	6.69455771683579	7.33940172249297
g90	11.581228683363	11.3052849329013	11.2159628355117	11.1715823830775	11.1748193714789	11.4607436258767
g91	9.94267592917046	11.7196901690663	11.2572551017674	10.0969295000689	10.8344431365685	11.0702115148301
g92	8.55000176718036	8.17978469412312	8.31042992786745	7.50388795625077	7.22510987850428	7.90018050241514
g93	6.5777769420061	7.39622907655314	7.24284343593862	6.63657978412692	7.17933357264602	6.97801463525569
g94	9.38868242312686	9.53098682692289	9.70516291415987	9.1838199326681	8.41665575488802	9.10862765976151
g95	11.070719838463	9.55071155918066	10.0252172345641	11.1305280345843	11.451039097926	10.7285150375756
g96	13.6512567305949	12.2700724124462	12.9120081320339	13.1228867333908	13.5187294669469	12.9633492087321
g97	13.0489599277414	11.0543173721658	11.9002455624053	13.8858887166716	15.2092670937031	13.8927263547128
g98	4.06264614746551	3.97543558886319	3.7327927347298	6.17836585810487	6.15928366974674	4.33159016386391
g99	10.1479831190505	10.229592311441	10.1691735905279	9.42201658873579	9.45148761413825	9.74765249159144
g100	8.3501383994561	8.49812195074989	8.26149995789664	8.07973672639035	7.96428292324965	8.63285914728518
g101	11.0385605720925	13.4356912918821	13.4041019372948	11.3318224634186	10.9506349404982	11.1878198534558
g102	9.76593429820807	10.1980704584168	10.2611318094975	11.9850699106042	11.5901818465166	11.8554760000024
g103	6.18788185919168	6.04192326178353	5.74602883842789	5.32383532572252	4.90117479338014	5.91121746787525
g104	9.32150250070995	11.1016713434693	11.1074239801383	11.3503246937791	10.9047761628825	11.3324482388845
g105	10.3656590728624	9.81343761216342	9.6495398439774	9.52582030135193	8.76567749510689	9.65355333114962
g106	10.4152425131785	10.1796120372032	10.5374068038309	10.383530521782	10.34311537213	11.0955405884353
g107	10.6779594610813	10.4901222244769	10.4418291595796	9.86626900888487	10.0155494615492	10.004291686336
g108	11.4385353273384	10.6784782038505	10.8423943675038	11.8536693560474	11.8339504280632	11.1660701997939
g109	9.64967121272589	9.89433349499894	9.92577748453456	10.2108681874815	10.3508768334282	10.3766791103741
g110	13.3447806297187	13.0250640208078	13.310300346964	14.0338865148733	14.239964980515	13.4467547063903
g111	5.10842241221023	4.91709688509746	4.82794080384959	3.52692053657966	4.50017515894893	4.09562155967963
g112	9.61308840284993	9.54757047299351	9.89942600551048	10.5145880793594	10.3661655919861	10.2619342377175
g113	12.9655999904694	13.5476480815668	13.625560509533	11.9081193128654	12.1579629307946	11.9976955528329
g114	7.81849519904487	7.49578724071323	6.88406826819037	8.30913987717253	7.53759695678494	7.97732650155062
g115	7.80010103515677	8.85877345827658	8.57777098999067	8.51922534112021	9.24540512955694	8.47146522956581
g116	8.09952066854778	7.82697151933214	7.7144085823508	7.75341515028923	8.13776584920995	7.79614428681827
g117	9.99466796583639	9.70843865249026	9.69829176694699	10.5767658033793	11.6705451229432	10.6984935501931
g118	13.2112732064716	13.252238273968	13.2363333750896	12.1324526040695	12.3579195248948	12.2893401016845
g119	8.42087668874195	8.10858020666777	8.03732730584296	7.4979875667419	7.18120412390175	8.4328140537406
g120	10.7035226353302	10.1547637193985	10.1257574788861	9.32865257099263	9.2641619569636	9.99326590891931
