"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g118",7598.46199440326,-1.36497604070388,0.24195552762833,-5.64143358940174,1.68640085876975e-08,4.00520203957816e-07
"g120",1083.81368034649,-1.1037781914683,0.464355252151397,-2.37701239806033,0.0174535014793855,0.0464882983329426
"g121",676.076706777304,-3.19880150163111,0.683340381949392,-4.68112464319139,2.85305397868093e-06,4.78306108190626e-05
"g126",544.302783537026,-1.55980233890934,0.44009129109038,-3.54426995145652,0.000393701913581741,0.00233760511189159
"g131",6287.30713358092,-1.10024013696695,0.298413536436904,-3.6869645730685,0.000226944936761638,0.00170208702571228
"g138",337.162970153738,-1.16543346547989,0.41629106631028,-2.79956395848102,0.0051171678073661,0.0167679713638634
"g140",299.694399306627,-1.46130203866375,0.410364447211,-3.5609859689243,0.000369464828526925,0.00228907556804725
"g142",1131.02951410353,-1.8380024703476,0.600842721507626,-3.05904091795555,0.00222046819744817,0.00855180319287469
"g146",358.497514470654,-1.47907818957964,0.327734382546875,-4.51303942566382,6.3905136924348e-06,9.10648201171959e-05
"g148",928.088114944319,-2.30521057863325,0.639791249451054,-3.60306675124291,0.000314484725801304,0.0021373643248808
"g152",2028.55690128649,-3.85452240052821,0.845530609700262,-4.55870237730912,5.14706512773439e-06,8.14951978557945e-05
"g156",727.192116423765,-1.96740196400998,0.368038934559817,-5.34563541860874,9.01004049080127e-08,1.78815231344326e-06
"g159",129.02979155362,-2.86201082167667,0.860439283763238,-3.32622054302229,0.00088032244886148,0.00425240504958512
"g160",1525.4656525579,-1.75905618048403,0.439946795335333,-3.99833843349912,6.37887002957888e-05,0.000586444502719349
"g161",233.650705608487,-2.22544835390454,0.355580531463033,-6.25863385924969,3.88364467199888e-10,1.00621702865426e-08
"g173",4544.97328905427,-2.54859973434076,0.45473773226575,-5.6045486299152,2.08798363736215e-08,4.57750258960164e-07
"g174",12675.9607923488,-1.5185756676788,0.381934058882624,-3.97601531563198,7.00796140194462e-05,0.000624146562360693
"g181",6667.93594150837,-2.6235534423926,0.681770906948625,-3.84814519900055,0.000119015509328589,0.000969126290247081
"g184",236.635807902905,-2.72168070770932,0.813008651702275,-3.34766512264128,0.000814954223006964,0.00407477111503482
"g185",1638.41156893029,-1.81671576722016,0.433349332897584,-4.19226621412502,2.76181634527651e-05,0.000291525058668076
"g186",880.59169567146,-4.03631044583193,0.612536134606745,-6.58950585572112,4.41292829495862e-11,1.25768456406321e-09
"g188",6388.60345255443,-2.60171390976566,0.64482250077614,-4.03477531667103,5.46545714534384e-05,0.000519218428807665
"g191",1988.07242639198,-1.82450837343177,0.558444326666529,-3.26712670593798,0.00108645042788124,0.00499416728945409
"g208",451.688605813515,-1.1993042541293,0.503607990705372,-2.38142419553255,0.0172458398339142,0.0463685316289203
"g210",354.039747791157,-1.99389109740618,0.632210928687255,-3.15383838989682,0.00161138293092553,0.0067535902252026
"g211",563.407885080983,-1.53276650877683,0.469887944013587,-3.26198305001097,0.00110635758643158,0.00500495098623812
"g235",2279.49198504751,-2.66536597179387,0.38570456111849,-6.91038229899247,4.83349332101851e-12,1.96792228070039e-10
"g245",6006.68091445923,-1.50209178690833,0.417560357601118,-3.5973045801997,0.000321531897657259,0.0021373643248808
"g248",142.30882572836,-1.88502862039453,0.576965675507253,-3.26714170429161,0.00108639286825399,0.00499416728945409
"g265",17.6518742872015,-4.03597438373722,1.02311144088746,-3.94480427296988,7.98651850667381e-05,0.000686489617264208
