"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g48",1029.13555836407,0.52261872009016,0.322658070706146,1.61972926617455,0.105290446578329,0.188728158961155
"g49",589.373005749632,-0.261836958771852,0.367147028125534,-0.713166493839426,0.475742737141215,0.59729815015527
"g50",683.786649737667,-2.17371868233747,0.714234896032469,-3.04342268126683,0.00233903539727836,0.00888833450965779
"g51",1141.74591517112,-2.31712801889195,0.485669936824909,-4.77099330883088,1.83319630935069e-06,3.26538092603092e-05
"g52",425.914112540069,0.492747535757886,0.382300449267942,1.28890127307315,0.197432411426035,0.314347694169945
"g53",1440.73216902759,-1.80995596132771,0.523876973483274,-3.45492558929104,0.00055044471596761,0.00307601458923076
"g54",373.08685322628,-0.262226729738963,0.489657251395168,-0.535531188380867,0.592282597030813,0.680647339329765
"g55",3266.88712793769,0.220635836738028,0.371955515927472,0.593178020731516,0.553062020344629,0.656761149159247
"g56",111.868706353341,-0.706901542187023,0.425846508120155,-1.65999140231899,0.0969161821648073,0.178198163675742
"g57",1722.81292399593,-0.55245800672615,0.373675701289286,-1.47844241629845,0.139289399285971,0.239141438533144
"g58",2014.70476576585,0.698435757998814,0.531168304601065,1.31490480879384,0.188541896409469,0.304526862143085
"g59",911.971112138907,1.24624836041466,0.328626947167204,3.79228901086001,0.000149265054531071,0.00114974433895555
"g60",29.93194456413,-0.385792743846429,0.602498814371399,-0.640321166853971,0.521963822397366,0.638773360542476
"g61",173.562803428839,-0.596802183637283,0.349639966047845,-1.70690493533458,0.0878397233558651,0.165544156490283
"g62",266.275933077938,0.613237636392615,0.536351841259869,1.14334955008665,0.25289348988835,0.383375769245638
"g63",421.286065055201,-0.462077952468158,0.384357779693771,-1.20220788255231,0.229282996059849,0.357080075830913
"g64",2429.68462916879,2.52476614418151,0.286810619827523,8.80290327359499,1.33321460648338e-18,3.79966162847764e-16
"g65",25608.3190682952,1.16913549926543,0.697001112688134,1.67737967412478,0.0934682614425051,0.174107545824274
"g66",160.953174779708,0.722853882093172,0.527963936624177,1.36913495780627,0.170957092725894,0.28163451691838
"g67",316.547893026142,-2.35550005538925,0.537565739973366,-4.38178976120382,1.17708364757041e-05,0.000145856017198942
"g68",244.799864659624,-1.76676900380025,0.51005282338365,-3.46389417488103,0.000532415919225526,0.0030347707395855
